time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1780494511543040256,0.07370424270629883,-0.0536637157201767,-0.016835909336805344,0.01393255963921547,-0.04221462830901146,-0.4754461348056793,-0.8787314295768738,-0.018011819571256638,0.004056364297866821,0.00991123914718628,0.9336058628124996,0.24211384000094283,0.044890673593699075,0.260280496248953,0.49547108043068233,-0.048003515806142705,0.555917509090131
1780494511553075200,0.08373904228210449,-0.09050135314464569,-0.033500902354717255,0.008982541970908642,-0.04227413982152939,-0.47446680068969727,-0.8792577385902405,0.0002666860818862915,-0.013432979583740234,0.008408129215240479,0.9337368716953475,0.24160163803815385,0.04471888959029289,0.26031588963044744,0.4943582010146118,-0.048042351876897794,0.5558965956696701
1780494511563110144,0.09377408027648926,-0.11065109819173813,-0.035772182047367096,0.009314637631177902,-0.042610861361026764,-0.47379857301712036,-0.8796017169952393,0.013268213719129562,-0.01638999581336975,0.006219208240509033,0.9338270833978867,0.2412950197849846,0.04445050967821184,0.2603224922639123,0.4935992665543224,-0.0484055170591238,0.5559318412325898
1780494511573145088,0.10380911827087402,-0.10953416675329208,-0.0279115941375494,0.023936457931995392,-0.04312219098210335,-0.4732010066509247,-0.8798984289169312,0.004715826362371445,-0.010487347841262817,0.014587759971618652,0.9338892238686101,0.24104797781315976,0.04412091634913505,0.26038444712543213,0.49292082701683326,-0.04896896800604594,0.5561448787290232
1780494511583179008,0.11384296417236328,-0.10830698162317276,-0.021681129932403564,0.03708528354763985,-0.043581943958997726,-0.47252902388572693,-0.8802368640899658,-7.344037294387817e-05,-0.011540800333023071,0.01729130744934082,0.9339420181230883,0.24075091777179208,0.04382437463755267,0.26051986952011547,0.4921581946904136,-0.049471214631422816,0.5564910421627364
1780494511593213952,0.12387800216674805,-0.11467912793159485,-0.0344773530960083,0.024334600195288658,-0.043706342577934265,-0.47167402505874634,-0.8806891441345215,0.005879804491996765,-0.021825730800628662,0.022183895111083984,0.9340327819963355,0.24031091448334194,0.04365881357788454,0.2606287511924665,0.49118829584422286,-0.0495867501856836,0.5566605989036421
1780494511603249152,0.1339130401611328,-0.1444239765405655,-0.04567940533161163,0.048159774392843246,-0.04412166401743889,-0.47052615880966187,-0.8812822699546814,0.01899043470621109,-0.022195398807525635,0.025874555110931396,0.9341571014619097,0.2397567705486109,0.043307764513412325,0.2607521227018367,0.4898869786512576,-0.05002353446174976,0.5569117077336665
1780494511613284096,0.14394807815551758,-0.12288672477006912,-0.026483608409762383,0.03668820858001709,-0.04478621482849121,-0.4692961871623993,-0.8819043636322021,0.018403764814138412,-0.009021073579788208,0.01657843589782715,0.9342678315941387,0.23919140947330678,0.04284031115188302,0.26095181384638044,0.488493582171638,-0.050739939781465376,0.5573885256163112
1780494511623319040,0.15398311614990234,-0.13683849573135376,-0.021666880697011948,0.0644223690032959,-0.04549965634942055,-0.4682912230491638,-0.8824019432067871,0.0016458891332149506,-0.0033121705055236816,0.01168966293334961,0.9343308324327213,0.23875002169439102,0.042396532278142544,0.2612029758719695,0.4873558370483392,-0.051517790428787735,0.5580151728220699
1780494511633353984,0.164017915725708,-0.13944120705127716,-0.0070961955934762955,0.06697740405797958,-0.04589017853140831,-0.46755844354629517,-0.8827701807022095,0.00269254669547081,0.003096163272857666,0.011127114295959473,0.9343474370056866,0.23840516736040174,0.04216503414545936,0.261495507220543,0.48652669922983854,-0.0519375349860589,0.558668141436687
