time,seconds_elapsed,bpm
1781552670700306944,1.370171070098877,163.0
1781552673700306944,4.370171070098877,159.0
1781552680700306944,11.370171070098877,143.0
1781552685700306944,16.370171070098877,139.0
1781552686700306944,17.370171070098877,139.0
1781552693700306944,24.370171070098877,130.0
1781552696700306944,27.370171070098877,131.0
1781552705700306944,36.37017107009888,118.0
1781552706700306944,37.37017107009888,117.0
1781552714700306944,45.37017107009888,117.0
1781552719700306944,50.37017107009888,113.0
1781552721706567936,52.37643218040466,114.0
1781552729706567936,60.37643218040466,110.0
1781552735706567936,66.37643218040466,108.0
1781552737706567936,68.37643218040466,108.0
1781552745706567936,76.37643218040466,108.0
1781552750706567936,81.37643218040466,105.0
1781552752706567936,83.37643218040466,105.0
1781552760706567936,91.37643218040466,107.0
1781552762706567936,93.37643218040466,107.0
