time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1781116661564687872,-11.478914976119995,49.429845259919695,11.08227225163326,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,7.6789799556626726,-1.0,-1.0
1781116676573382912,3.5297799110412598,49.42984718187912,11.082273083041645,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,7.251234374046633,-1.0,-1.0
1781116679715377920,6.6717751026153564,49.42986676297484,11.082286342401469,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,21.98939148328483,-1.0,-1.0
1781116684694264576,11.650661706924438,49.42984718187912,11.082273083041645,0.0,316.7399877929687,-1.0,-1.0,9.157152685712898,7.395014,-1.0,-1.0
1781116686198824960,13.155221939086914,49.429847181930676,11.082273083035421,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,7.251865994866879,-1.0,-1.0
1781116687075737856,14.032135009765625,49.42984760889038,11.08227311207628,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,6.887341697368636,-1.0,-1.0
1781116692102586880,19.05898404121399,49.42986417584381,11.082282601763653,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,18.180292190472557,-1.0,-1.0
1781116698561383936,25.517781019210815,49.42984819503425,11.082273068195436,0.0,316.7399877929687,-1.0,-1.0,21.784131921856595,6.695014,-1.0,-1.0
1781116698616466944,25.572864055633545,49.42984819507667,11.082273068190316,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,6.577114424631473,-1.0,-1.0
1781116705002158080,31.958555221557617,49.42984941176644,11.082273629998905,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,6.301805449992342,-1.0,-1.0
1781116716895852032,43.85224914550781,49.42985944015143,11.082275770519342,365.207445526123,319.61744537353513,-1.0,-1.0,30.0,22.348458644991876,-1.0,-1.0
1781116720296135168,47.25253224372864,49.42984941175635,11.082273629994242,0.0,316.7399877929687,-1.0,-1.0,12.193292073849706,6.395014,-1.0,-1.0
1781116723398781952,50.35517907142639,49.42984941179532,11.082273629989539,362.3299879455566,316.7399877929687,-1.0,-1.0,3.0,6.304404521139561,-1.0,-1.0
