time,seconds_elapsed,bpm
1780586093921836800,6.942656993865967,99.0
1780586096921836800,9.942656993865967,98.0
1780586103921836800,16.942656993865967,100.0
1780586104921836800,17.942656993865967,102.0
1780586113921837056,26.942657232284546,112.0
1780586118921837056,31.942657232284546,120.0
1780586119921836800,32.94265699386597,121.0
1780586124921837056,37.942657232284546,125.00000000000001
1780586132921836800,45.94265699386597,130.0
1780586135921836800,48.94265699386597,127.0
1780586139921836800,52.94265699386597,119.0
1780586148921836800,61.94265699386597,104.0
1780586153921836800,66.94265699386597,100.0
1780586157921836800,70.94265699386597,100.0
1780586163921836800,76.94265699386597,94.0
1780586167921836800,80.94265699386597,97.0
1780586170921836800,83.94265699386597,98.0
1780586175921836800,88.94265699386597,99.0
1780586179921836800,92.94265699386597,100.0
1780586186921836800,99.94265699386597,104.0
1780586193921837056,106.94265723228455,100.0
1780586194921837056,107.94265723228455,100.0
1780586203921837056,116.94265723228455,109.0
1780586208921837056,121.94265723228455,104.0
1780586209921837056,122.94265723228455,104.0
1780586215921836800,128.94265699386597,108.0
1780586223921836800,136.94265699386597,99.0
1780586225921836800,138.94265699386597,100.0
1780586233921836800,146.94265699386597,95.0
1780586234921836800,147.94265699386597,95.0
1780586240921836800,153.94265699386597,89.0
1780586247921836800,160.94265699386597,97.0
1780586249921836800,162.94265699386597,98.0
1780586255921836800,168.94265699386597,92.00000000000001
1780586263921836800,176.94265699386597,95.0
1780586264921836800,177.94265699386597,95.0
1780586270921837056,183.94265723228455,105.0
1780586274921836800,187.94265699386597,112.0
1780586280921836800,193.94265699386597,121.0
1780586286921836800,199.94265699386597,127.0
1780586291921836800,204.94265699386597,132.0
