time,seconds_elapsed,bpm
1781555842956568064,3.303015947341919,141.0
1781555844956568064,5.303015947341919,137.0
1781555851956568064,12.303015947341919,125.0
1781555857956568064,18.30301594734192,109.0
1781555862956568064,23.30301594734192,106.0
1781555867956568064,28.30301594734192,110.0
1781555870956568064,31.30301594734192,110.0
1781555877956568064,38.30301594734192,114.0
1781555879956568064,40.30301594734192,113.0
1781555886956568064,47.30301594734192,109.0
1781555892956568064,53.30301594734192,111.0
1781555893956568064,54.30301594734192,111.0
1781555902956568064,63.30301594734192,116.0
1781555907956568064,68.30301594734192,111.0
1781555908956568064,69.30301594734192,109.0
1781555915956568064,76.30301594734192,105.0
1781555918956568064,79.30301594734192,105.0
1781555924956568064,85.30301594734192,107.0
