time,seconds_elapsed,relativeAltitude,pressure
1780771394082559232,6.028172969818115,-0.09999942779541016,97.88031768798828
1780771396653241088,8.598855018615723,-0.07999992370605469,97.88031768798828
1780771399229022976,11.174636840820312,-0.03999996185302734,97.87958526611328
1780771401787280128,13.732893943786621,-0.02999973297119141,97.87952423095703
1780771404365292032,16.310905933380127,-0.05999946594238281,97.87977600097656
1780771406930046208,18.875659942626953,-0.09000015258789062,97.88008880615234
1780771409513981952,21.459595918655396,-0.06999969482421875,97.880126953125
1780771412077419008,24.023032903671265,-0.05000019073486328,97.87983703613281
1780771414639884032,26.585497856140137,-0.06999969482421875,97.87984466552734
1780771417209261056,29.154874801635742,-0.09000015258789062,97.88016510009766
1780771419768185088,31.713798999786377,-0.09000015258789062,97.88021850585938
1780771422343964160,34.28957796096802,-0.09999942779541016,97.88014221191406
1780771424909822976,36.8554368019104,-0.1099996566772461,97.88037872314453
1780771427508492032,39.454105854034424,-0.1099996566772461,97.8805160522461
1780771430061740032,42.00735378265381,-0.119999885559082,97.88069152832031
1780771432621888256,44.56750202178955,-0.06999969482421875,97.88008880615234
