time,seconds_elapsed,relativeAltitude,pressure
1781555983305820928,4.501144886016846,-0.04999923706054688,97.98849487304688
1781555985874039296,7.069363117218018,-0.09000015258789062,97.98970794677734
1781555988444428032,9.63975191116333,-0.1000003814697266,97.98979949951172
1781555991014738944,12.210062980651855,-0.07999992370605469,97.98965454101562
1781555993579508992,14.774832963943481,-0.1199989318847656,97.989990234375
1781555996147696896,17.343020915985107,-0.1499996185302734,97.99053955078125
1781555998717436928,19.912760972976685,-0.1599998474121094,97.99073791503906
1781556001288846848,22.48417091369629,-0.1700000762939453,97.99071502685547
1781556003859239168,25.05456304550171,-0.1599998474121094,97.99071502685547
1781556006425886208,27.6212100982666,-0.1499996185302734,97.99063110351562
1781556008995728128,30.191051959991455,-0.1399993896484375,97.99050903320312
1781556011563109888,32.75843381881714,-0.1399993896484375,97.99041748046875
1781556014131492096,35.32681608200073,-0.1399993896484375,97.99026489257812
1781556016702288128,37.89761209487915,-0.1499996185302734,97.99050903320312
1781556019271164928,40.4664888381958,-0.1299991607666016,97.99040222167969
1781556021846292992,43.041616916656494,-0.1099987030029297,97.99026489257812
1781556024407836928,45.6031608581543,-0.1099987030029297,97.99011993408203
1781556026976306944,48.171630859375,-0.1000003814697266,97.99008178710938
1781556029556293120,50.75161695480347,-0.1199989318847656,97.98987579345703
1781556032103611904,53.298935890197754,-0.1000003814697266,97.98995971679688
1781556034682526208,55.87785005569458,-0.07999992370605469,97.9898452758789
1781556037271564032,58.46688795089722,-0.01000022888183594,97.9890365600586
