time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1781555928889281024,-49.9153950214386,49.42986256896045,11.082286958020944,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,8.523082023274878,-1.0,-1.0
1781555978926128896,0.12145280838012695,49.42986256896045,11.082286958020944,0.0,317.61276378898265,-1.0,-1.0,41.258554754246866,55.695014,-1.0,-1.0
1781555979267166976,0.4624910354614258,49.42986208483321,11.082286427132617,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,20.460910264217034,-1.0,-1.0
1781555985612175104,6.807498931884766,49.42986204256389,11.082286380280983,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,17.43093638622934,-1.0,-1.0
1781555991803728128,12.999052047729492,49.42986046907573,11.082284023233198,365.13744552612303,319.54744537353514,-1.0,-1.0,30.0,23.902962001333588,-1.0,-1.0
1781555998028524032,19.22384786605835,49.429862008370584,11.082286344469493,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,21.9593456918886,-1.0,-1.0
1781555991261060608,12.456384658813477,49.429849675411354,11.08227730193827,0.0,317.8616545596624,-1.0,-1.0,40.07375647274569,79.895014,-1.0,-1.0
1781556004527686144,25.723010063171387,49.42989552989154,11.082542426315886,47.30695724487305,0.0,-1.0,-1.0,-1.0,38.797863473010835,-1.0,-1.0
1781556005389392896,26.584716796875,49.429861898748804,11.082286437409381,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,21.9029616334615,-1.0,-1.0
1781556010416869120,31.61219310760498,49.42986200727375,11.082286337172022,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,21.988976672426215,-1.0,-1.0
1781556010294769408,31.490093231201172,49.42986201599743,11.082286344161073,0.0,317.91585828259934,-1.0,-1.0,30.17400034366505,129.195014,-1.0,-1.0
1781556016859987968,38.05531191825867,49.42989552989154,11.082542426315886,365.13695724487303,317.83,-1.0,-1.0,50.54099727885869,38.797863473010835,-1.0,-1.0
1781556022796206080,43.99152994155884,49.42986200439841,11.08228634447886,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,21.987162550078217,-1.0,-1.0
1781556027378982144,48.57430601119995,49.42986199597609,11.082286646919881,0.0,317.8300105590825,-1.0,-1.0,33.84508917771224,22.995013999999998,-1.0,-1.0
1781556029279449856,50.47477388381958,49.42986198306637,11.082286845511225,365.1370346374548,319.5470344848669,-1.0,-1.0,36.49504459206898,23.04497227593237,-1.0,-1.0
1781556030952996096,52.1483199596405,49.42985792658522,11.082283497850318,365.0636615122012,319.4736613596133,-1.0,-1.0,30.0,16.103263419855907,-1.0,-1.0
1781556035270718208,56.466042041778564,49.42986202836665,11.08228635914403,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,21.96570283273763,-1.0,-1.0
