time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1781515841720610048,-280.1042637825012,49.37567654582123,11.08061281428229,374.4153159728646,328.8253158202767,-1.0,-1.0,30.0,20.769418379708274,-1.0,-1.0
1781515850720610048,-271.1042637825012,49.37567654582123,11.08061281428229,374.4153159728646,328.8253158202767,-1.0,-1.0,30.0,20.769418379708274,-1.0,-1.0
1781515858997518080,-262.8273558616638,49.3756646659996,11.080609560939752,0.0,327.05289644632,-1.0,-1.0,38.958098995476625,21.895014,-1.0,-1.0
1781516122242884096,0.41801023483276367,49.37571143107584,11.080586106526601,374.4835466510057,328.89354649841783,-1.0,-1.0,30.0,21.99819839967398,-1.0,-1.0
1781516128603101952,6.778228044509888,49.37614678670198,11.08046703068778,374.4159009426832,328.8259007900953,-1.0,-1.0,30.0,30.452562809128693,-1.0,-1.0
1781516134872418816,13.047544956207275,49.37577976670739,11.080644034761317,374.41832623365565,328.82832608106776,-1.0,-1.0,30.0,20.89321042022936,-1.0,-1.0
1781516141088762880,19.26388907432556,49.37566623409343,11.080602518232139,374.4183758247201,328.8283756721322,-1.0,-1.0,30.0,22.879856225430647,-1.0,-1.0
1781516147335963136,25.511089086532593,49.37590154545942,11.080342826508183,374.3722461687444,328.78224601615653,-1.0,-1.0,30.0,25.78145728940026,-1.0,-1.0
1781516153606384128,31.7815101146698,49.375800556810646,11.080630998553865,374.3203507253499,328.730350572762,-1.0,-1.0,30.0,22.484025979765836,-1.0,-1.0
1781516159849398016,38.024524211883545,49.37577315048407,11.080544119942925,374.35404474852487,328.764044595937,-1.0,-1.0,30.0,21.53355217653393,-1.0,-1.0
