time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1781552169386630912,-4.094867944717407,49.429892145817966,11.08234461325672,365.13739974975584,319.54739959716795,-1.0,-1.0,30.0,21.793559673815874,-1.0,-1.0
1781552173537135104,0.05563616752624512,49.429892145817966,11.08234461325672,0.0,317.83,-1.0,-1.0,31.21308884202988,95.095014,-1.0,-1.0
1781552173540011776,0.05851292610168457,49.42989252533087,11.082345361568766,365.13739974975584,319.54739959716795,-1.0,-1.0,30.0,21.440423632999387,-1.0,-1.0
1781552179952868096,6.471369028091431,49.429871321333295,11.0823043642536,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,18.33369979437248,-1.0,-1.0
1781552185322262784,11.840763807296753,49.42989099379195,11.082284301274136,0.0,317.5442547194882,-1.0,-1.0,30.00821582204243,9.495014000000001,-1.0,-1.0
1781552186239666944,12.75816798210144,49.42988865702428,11.082283392861815,364.7070862278239,319.117086075236,-1.0,-1.0,30.0,9.53639955450986,-1.0,-1.0
1781552186273204992,12.791706085205078,49.429888657023895,11.082283392865595,364.7066093906657,319.1166092380778,-1.0,-1.0,30.000074125032658,9.536633043097114,-1.0,-1.0
1781552188057181952,14.575682878494263,49.429897181170546,11.08226384329954,364.7071510776774,319.1171509250895,-1.0,-1.0,30.0,10.068841269102094,-1.0,-1.0
1781552191180846080,17.699347019195557,49.429890595500055,11.08227698936844,364.8299669235945,319.2399667710066,-1.0,-1.0,30.0,11.418853275745851,-1.0,-1.0
1781552192372498944,18.891000032424927,49.42987436085876,11.08230750189898,365.13742263793944,319.54742248535155,-1.0,-1.0,30.0,14.23928557749671,-1.0,-1.0
1781552202889501184,29.408002138137817,49.429887100327555,11.08227164654251,317.5869688587185,317.5869688587185,-1.0,-1.0,30.065701394636275,9.495014000000001,-1.0,-1.0
1781552202889949952,29.408451080322266,49.429877866906466,11.08228133057181,364.85170025527475,319.26170010268686,-1.0,-1.0,30.0,9.08124749010067,-1.0,-1.0
1781552202913524224,29.43202519416809,49.429877864246556,11.082281361638426,364.85121197402475,319.26121182143686,-1.0,-1.0,30.00006708602215,9.081282110136602,-1.0,-1.0
1781552204338930176,30.857431173324585,49.4298864893922,11.082285362365944,364.76566970169546,319.17566954910757,-1.0,-1.0,30.0,9.083531450904777,-1.0,-1.0
1781552210351477248,36.869978189468384,49.42987326678898,11.082279893529384,364.7867161124945,319.1967159599066,-1.0,-1.0,30.0,11.476663102119092,-1.0,-1.0
1781552218070523136,44.58902406692505,49.4298706203827,11.082301092879996,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,12.110705539133722,-1.0,-1.0
1781552233084136960,59.60263800621033,49.42986826283939,11.082297053410247,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,11.516765428719781,-1.0,-1.0
1781552248089928192,74.6084291934967,49.42986663972326,11.08229427232519,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,11.215521077126061,-1.0,-1.0
1781552263095639040,89.61414003372192,49.429865473139515,11.082292273473378,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,11.052364062705466,-1.0,-1.0
1781552277401385984,103.91988706588745,49.429863288691784,11.082286967437499,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,20.55185280711189,-1.0,-1.0
1781552283603204864,110.12170600891113,49.42986202223221,11.082286354789193,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,21.959012782402628,-1.0,-1.0
1781552289829285120,116.34778618812561,49.429861701300545,11.082284929110767,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,22.953538456565838,-1.0,-1.0
