time,seconds_elapsed,relativeAltitude,pressure
1781551338653038080,3.2406840324401855,0.01000022888183594,97.89456939697266
1781551341226754048,5.81439995765686,-0.02999973297119141,97.89573669433594
1781551343797986048,8.385632038116455,-0.09000015258789062,97.89594268798828
1781551346366564864,10.954210996627808,-0.1099996566772461,97.89622497558594
1781551348944301056,13.531947135925293,-0.07999992370605469,97.89624786376953
1781551351516172032,16.1038179397583,-0.06999969482421875,97.89618682861328
1781551354087593984,18.67524003982544,-0.07999992370605469,97.89600372314453
1781551356660163840,21.247809886932373,-0.07999992370605469,97.8960189819336
1781551359276030976,23.86367702484131,-0.05999946594238281,97.89583587646484
1781551361783427072,26.371073007583618,-0.05999946594238281,97.89582061767578
1781551364358550016,28.94619607925415,-0.05999946594238281,97.89571380615234
1781551366917315072,31.504961013793945,-0.07999992370605469,97.89580535888672
1781551369490041088,34.07768702507019,-0.05000019073486328,97.89566040039062
