time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1781551229319407872,-106.09294605255127,49.43000405535745,11.082319906878606,365.1374188232422,319.5474186706543,-1.0,-1.0,30.0,39.76349801921131,-1.0,-1.0
1781551235482635520,-99.92971849441528,49.43000405535745,11.082319906878606,317.842389868978,317.842389868978,-1.0,-1.0,31.38537592856107,145.195014,-1.0,-1.0
1781551335722231808,0.309877872467041,49.42987251699109,11.08226361796975,0.0,317.56581969857217,-1.0,-1.0,32.030788811791204,12.495014000000001,-1.0,-1.0
1781551336655964928,1.2436108589172363,49.429872512453166,11.082263677124804,364.8727769434452,319.2827767908573,-1.0,-1.0,33.926702840905094,12.386498450171384,-1.0,-1.0
1781551337336032000,1.923677921295166,49.4298981473854,11.082209023070869,364.87369247078897,319.2836923182011,-1.0,-1.0,34.147315039239444,11.833954504062666,-1.0,-1.0
1781551343009951232,7.597597122192383,49.42994068872154,11.08254229463896,366.01984957196606,320.4298494193782,-1.0,-1.0,103.62200558789539,22.99449929923303,-1.0,-1.0
1781551349238851072,13.826497077941895,49.43010516246936,11.082240920033986,365.97071191928393,320.38071176669604,-1.0,-1.0,107.84240919031667,43.592279828771545,-1.0,-1.0
1781551355625351936,20.212997913360596,49.43005845090073,11.082327240284975,365.92032409109896,320.33032393851107,-1.0,-1.0,112.60466351053635,55.45844783689313,-1.0,-1.0
1781551361853903104,26.441549062728882,49.42987326980887,11.082287377427853,365.13743408203123,319.54743392944334,-1.0,-1.0,30.0,22.311681875058092,-1.0,-1.0
1781551368136950016,32.72459602355957,49.42989814738131,11.08220902307959,0.0,316.91466365065355,-1.0,-1.0,43.4210385470884,24.895014,-1.0,-1.0
1781551368163610880,32.75125694274902,49.42989812140551,11.082209276038723,364.2216208955266,318.6316207429387,-1.0,-1.0,44.04756489598528,24.752524140659986,-1.0,-1.0
1781551368716564224,33.30421018600464,49.42990378528725,11.082305846092575,365.137373046875,319.5473728942871,-1.0,-1.0,30.0,16.456314646115153,-1.0,-1.0
