time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1781515286344655104,-58.30820989608765,49.375694280296344,11.080981217095262,370.7831729347016,325.1931727821137,-1.0,-1.0,60.76516123229479,65.67807838558753,-1.0,-1.0
1781515295344655104,-49.30820989608765,49.375694280296344,11.080981217095262,370.7831729347016,325.1931727821137,-1.0,-1.0,60.76516123229479,65.67807838558753,-1.0,-1.0
1781515344712414976,0.05955004692077637,49.375694280296344,11.080981217095262,0.0,329.94966085801025,-1.0,-1.0,97.95530634678849,155.395014,-1.0,-1.0
1781515345042382080,0.38951706886291504,49.37581348895499,11.080620865197117,374.25343139931556,328.66343124672767,-1.0,-1.0,30.0,21.786369556630206,-1.0,-1.0
1781515351428115968,6.7752509117126465,49.37577306476638,11.080553634986797,374.3728803244801,328.7828801718922,-1.0,-1.0,30.0,18.94186468566554,-1.0,-1.0
1781515357651431168,12.998566150665283,49.37575057313447,11.080527398363492,374.34876431048434,328.75876415789645,-1.0,-1.0,30.0,21.95923308968636,-1.0,-1.0
1781515363860586240,19.20772123336792,49.37577063824911,11.080624773956533,374.35748376894134,328.76748361635345,-1.0,-1.0,30.0,19.641183712486864,-1.0,-1.0
1781515370089294848,25.436429977416992,49.37588048864674,11.080677424156825,374.37632297530666,328.7863228227188,-1.0,-1.0,30.0,24.27457501093229,-1.0,-1.0
1781515376310636032,31.657771110534668,49.375799914046446,11.080541650587785,374.3547139873593,328.7647138347714,-1.0,-1.0,30.0,23.936315263091643,-1.0,-1.0
