time,seconds_elapsed,bpm
1780949155072742912,2.3201119899749756,135.0
1780949160072742912,7.320111989974976,124.0
1780949163072742912,10.320111989974976,121.0
1780949170072742912,17.320111989974976,117.0
1780949175072742912,22.320111989974976,117.0
1780949177072742912,24.320111989974976,117.0
1780949184072742912,31.320111989974976,112.0
1780949186072742912,33.320111989974976,112.0
1780949194072742912,41.320111989974976,105.0
1780949199072742912,46.320111989974976,109.0
1780949201072742912,48.320111989974976,108.0
1780949206072742912,53.320111989974976,108.0
1780949214072742912,61.320111989974976,109.0
1780949220072742912,67.32011198997498,115.0
1780949224072742912,71.32011198997498,113.0
1780949230072742912,77.32011198997498,109.0
1780949232072742912,79.32011198997498,108.0
1780949236072742912,83.32011198997498,110.0
1780949245072742912,92.32011198997498,120.0
1780949249072742912,96.32011198997498,123.0
1780949251072742912,98.32011198997498,124.0
1780949259072742912,106.32011198997498,110.0
1780949265072742912,112.32011198997498,115.0
