time,seconds_elapsed,bpm
1780773331021858816,6.454256772994995,106.0
1780773334021858816,9.454256772994995,108.0
1780773337021858816,12.454256772994995,111.0
1780773346021858816,21.454256772994995,128.0
1780773350021858816,25.454256772994995,135.0
1780773352021858816,27.454256772994995,138.0
1780773358021858816,33.454256772994995,142.0
1780773363521858048,38.95425581932068,140.0
1780773371521858048,46.95425581932068,154.0
1780773374521858816,49.954256772994995,159.0
1780773377521858048,52.95425581932068,158.0
1780773384521858816,59.954256772994995,160.0
1780773387521858048,62.95425581932068,161.0
1780773396521858816,71.954256772995,158.0
1780773397521858048,72.95425581932068,156.0
1780773403521858816,78.954256772995,143.0
1780773408521858816,83.954256772995,141.0
1780773414521858816,89.954256772995,140.0
1780773417521858816,92.954256772995,138.0
1780773422521858816,97.954256772995,141.0
1780773431521858816,106.954256772995,142.0
1780773432521858816,107.954256772995,141.0
1780773437521858816,112.954256772995,133.0
1780773446521858816,121.954256772995,130.0
1780773451521858816,126.954256772995,129.0
1780773453521858816,128.954256772995,128.0
1780773457521858816,132.954256772995,129.0
1780773466521858816,141.954256772995,136.0
1780773471521858816,146.954256772995,141.0
1780773476521858816,151.954256772995,145.0
1780773478521858816,153.954256772995,146.0
1780773486521858816,161.954256772995,152.0
1780773489521858816,164.954256772995,155.0
1780773492521858816,167.954256772995,157.0
1780773501521858816,176.954256772995,161.0
1780773504521858816,179.954256772995,162.0
