time,seconds_elapsed,relativeAltitude,pressure
1781555621071962880,5.449242830276489,0.02000045776367188,97.98590850830078
1781555623636870912,8.014150857925415,0.01000022888183594,97.98624420166016
1781555626224290816,10.601570844650269,-0.06999969482421875,97.98682403564453
1781555628776463104,13.153743028640747,-0.1000003814697266,97.9873275756836
1781555631348825088,15.726104974746704,-0.07999992370605469,97.98768615722656
1781555633917459968,18.294739961624146,-0.1000003814697266,97.98771667480469
1781555636488299008,20.8655788898468,-0.1200008392333984,97.9876937866211
1781555639053133056,23.430413007736206,-0.1000003814697266,97.98786926269531
1781555641617425920,25.99470591545105,-0.07999992370605469,97.98756408691406
1781555644191398144,28.56867814064026,-0.07999992370605469,97.98741149902344
1781555646756960768,31.134240865707397,-0.1000003814697266,97.98747253417969
1781555649331637760,33.70891785621643,-0.1200008392333984,97.98770904541016
1781555651910622976,36.28790307044983,-0.1200008392333984,97.98786163330078
1781555654467139840,38.844419956207275,-0.1499996185302734,97.98802947998047
1781555657029985792,41.40726590156555,-0.1499996185302734,97.98810577392578
1781555659607141120,43.98442101478577,-0.1100006103515625,97.9881591796875
1781555662168692992,46.54597306251526,-0.1700000762939453,97.98844909667969
1781555664749330944,49.12661099433899,-0.2100009918212891,97.98847198486328
1781555667298448128,51.67572808265686,-0.1599998474121094,97.98835754394531
1781555669879955968,54.25723600387573,-0.1599998474121094,97.98846435546875
1781555672446099968,56.82337999343872,-0.1599998474121094,97.98839569091797
1781555675029075200,59.406355142593384,-0.1399993896484375,97.9885482788086
