time,seconds_elapsed,relativeAltitude,pressure
1781555844556632064,4.903079986572266,0,97.98889923095703
1781555847131514112,7.477962017059326,-0.009998321533203125,97.98906707763672
1781555849708620032,10.055068016052246,-0.029998779296875,97.98921203613281
1781555852268738048,12.615185976028442,-0.03999900817871094,97.98948669433594
1781555854837888000,15.184335947036743,-0.04999923706054688,97.9895248413086
1781555857410750976,17.757198810577393,-0.04999923706054688,97.9895248413086
1781555859975737088,20.322185039520264,-0.03999900817871094,97.989501953125
1781555862548050944,22.894498825073242,-0.029998779296875,97.98941040039062
1781555865126353920,25.47280192375183,-0.04999923706054688,97.98941040039062
1781555867689722112,28.03617000579834,-0.06999969482421875,97.98973846435547
1781555870264508928,30.61095690727234,-0.06999969482421875,97.98970794677734
1781555872832291072,33.178739070892334,-0.05999946594238281,97.98967742919922
1781555875399464960,35.74591302871704,-0.05999946594238281,97.98967742919922
1781555877967064832,38.31351280212402,-0.05999946594238281,97.9896011352539
1781555880540448000,40.88689589500427,-0.07999992370605469,97.9896240234375
1781555883109680128,43.45612812042236,-0.07999992370605469,97.98990631103516
1781555885676229120,46.022676944732666,-0.05999946594238281,97.98975372314453
1781555888234895872,48.58134388923645,-0.06999969482421875,97.98981475830078
1781555890807499776,51.153947830200195,-0.07999992370605469,97.98987579345703
1781555893375895040,53.72234296798706,-0.06999969482421875,97.98979187011719
1781555895942384896,56.288832902908325,-0.05999946594238281,97.98977661132812
1781555898525330176,58.87177801132202,-0.06999969482421875,97.98976135253906
1781555901089442048,61.43588995933533,-0.05999946594238281,97.98966979980469
1781555903653479936,63.99992799758911,-0.03999900817871094,97.98965454101562
1781555906223906048,66.57035398483276,-0.04999923706054688,97.98950958251953
1781555908786707968,69.1331558227539,-0.03999900817871094,97.9894790649414
1781555911356452864,71.70290088653564,-0.03999900817871094,97.98957824707031
1781555913934808064,74.28125596046448,-0.04999923706054688,97.98963928222656
1781555916496497152,76.84294509887695,-0.05999946594238281,97.98975372314453
1781555919073755136,79.42020297050476,-0.05999946594238281,97.98975372314453
1781555921634478080,81.98092603683472,-0.05999946594238281,97.98976135253906
1781555924200279040,84.54672694206238,-0.06999969482421875,97.98976135253906
1781555926768718848,87.11516690254211,-0.06999969482421875,97.98987579345703
1781555929338894848,89.68534278869629,-0.07999992370605469,97.989990234375
