time,seconds_elapsed,bpm
1781551855783406080,10.35103702545166,140.0
1781551860783406080,15.35103702545166,132.0
1781551863783406080,18.35103702545166,130.0
1781551870783406080,25.35103702545166,125.0
1781551871783406080,26.35103702545166,125.0
1781551879783406080,34.35103702545166,123.0
1781551881783406080,36.35103702545166,121.0
1781551890783406080,45.35103702545166,113.0
1781551891783406080,46.35103702545166,113.0
1781551900783406080,55.35103702545166,112.0
1781551905783406080,60.35103702545166,109.0
1781551909783406080,64.35103702545166,109.0
1781551913783406080,68.35103702545166,105.0
1781551918783406080,73.35103702545166,104.0
1781551925783406080,80.35103702545166,105.0
1781551929783406080,84.35103702545166,105.0
1781551934783406080,89.35103702545166,104.0
1781551936783406080,91.35103702545166,104.0
1781551941783406080,96.35103702545166,105.0
