time,seconds_elapsed,bpm
1780949340072742912,1.3131859302520752,122.0
1780949344072742912,5.313185930252075,119.0
1780949350072742912,11.313185930252075,115.0
1780949355072742912,16.313185930252075,117.0
1780949360072742912,21.313185930252075,112.0
1780949365072742912,26.313185930252075,111.0
1780949366072742912,27.313185930252075,111.0
1780949373072742912,34.313185930252075,116.0
1780949380072742912,41.313185930252075,107.0
1780949381072742912,42.313185930252075,107.0
1780949390072742912,51.313185930252075,100.0
1780949392072742912,53.313185930252075,101.0
1780949399072742912,60.313185930252075,110.0
1780949405072742912,66.31318593025208,111.0
1780949408072742912,69.31318593025208,109.0
1780949411072742912,72.31318593025208,108.0
1780949420072742912,81.31318593025208,101.0
1780949425072742912,86.31318593025208,105.0
1780949426072742912,87.31318593025208,104.0
1780949432072742912,93.31318593025208,107.0
1780949439072742912,100.31318593025208,104.0
