time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1780770768839406080,-29.68106698989868,49.429911883075896,11.082280389342916,47.30742645263672,0.0,-1.0,-1.0,-1.0,24.289687770169447,-1.0,-1.0
1780770777839406080,-20.68106698989868,49.429911883075896,11.082280389342916,47.30742645263672,0.0,-1.0,-1.0,-1.0,24.289687770169447,-1.0,-1.0
1780770788235365376,-10.285107612609863,49.429911883075896,11.082280389342916,0.0,0.0,-1.0,-1.0,-1.0,168.395014,-1.0,-1.0
1780770798870761984,0.35028886795043945,49.42988745310734,11.082507992454191,47.307289123535156,0.0,-1.0,-1.0,-1.0,39.832999841771965,-1.0,-1.0
1780770805290933248,6.77046012878418,49.429907818021825,11.082237305470693,47.307472229003906,0.0,-1.0,-1.0,-1.0,39.770534719968985,-1.0,-1.0
1780770811508260864,12.987787961959839,49.42987986901869,11.082272063235827,47.30743408203125,0.0,-1.0,-1.0,-1.0,35.39914912152585,-1.0,-1.0
1780770817746903808,19.226430892944336,49.430191995676665,11.082397989768369,47.30738830566406,0.0,-1.0,-1.0,-1.0,51.3691685355782,-1.0,-1.0
1780770825112275200,26.59180212020874,49.42998179168581,11.082335642107894,47.307411193847656,0.0,-1.0,-1.0,-1.0,36.13489606625671,-1.0,-1.0
1780770831489337088,32.96886396408081,49.42989714632913,11.082293950817519,47.30743408203125,0.0,-1.0,-1.0,-1.0,35.16088218496283,-1.0,-1.0
1780770837770926080,39.25045299530029,49.429878609545675,11.08228260013866,47.30743408203125,0.0,-1.0,-1.0,-1.0,34.43348269713369,-1.0,-1.0
