time,seconds_elapsed,relativeAltitude,pressure
1780770803239479040,4.719006061553955,-0.01000022888183594,97.87249755859375
1780770805814005760,7.293532848358154,0,97.87223815917969
1780770808392930048,9.872457027435303,0.01000022888183594,97.8720703125
1780770810997630976,12.477158069610596,0,97.87213134765625
1780770813522129920,15.001657009124756,-0.01000022888183594,97.87208557128906
1780770816101156096,17.58068299293518,0.02000045776367188,97.87210083007812
1780770818659584000,20.139111042022705,0.01000022888183594,97.87210083007812
1780770821285287936,22.764814853668213,-0.01000022888183594,97.87242889404297
1780770823795383808,25.274910926818848,-0.03999996185302734,97.8725814819336
1780770826363283200,27.84281015396118,-0.02999973297119141,97.87271881103516
1780770828936386048,30.415913105010986,-0.02999973297119141,97.87274169921875
1780770831548749824,33.0282769203186,-0.05000019073486328,97.8729019165039
1780770834071960832,35.55148792266846,-0.05000019073486328,97.8729476928711
1780770836639388160,38.11891508102417,-0.07999992370605469,97.87303161621094
1780770839218071040,40.69759798049927,-0.1099996566772461,97.87307739257812
