time,seconds_elapsed,bpm
1781555433706567936,3.9868619441986084,124.0
1781555438706567936,8.986861944198608,122.0
1781555439706567936,9.986861944198608,122.0
1781555448706567936,18.98686194419861,122.0
1781555453706567936,23.98686194419861,121.0
1781555457706567936,27.98686194419861,112.0
1781555459706567936,29.98686194419861,114.0
1781555468706567936,38.98686194419861,113.0
1781555473706567936,43.98686194419861,112.0
1781555477706567936,47.98686194419861,111.0
1781555483706567936,53.98686194419861,114.0
1781555488706567936,58.98686194419861,110.0
1781555490706567936,60.98686194419861,109.0
1781555494706567936,64.98686194419861,105.0
1781555500706567936,70.98686194419861,108.0
1781555505706567936,75.98686194419861,103.0
1781555510706567936,80.98686194419861,107.0
1781555515706567936,85.98686194419861,100.0
1781555520706567936,90.98686194419861,105.0
1781555528706567936,98.98686194419861,100.0
1781555531706567936,101.98686194419861,100.0
1781555536706567936,106.98686194419861,99.0
1781555543706567936,113.98686194419861,102.0
1781555547706567936,117.98686194419861,99.0
1781555550706567936,120.98686194419861,100.0
