time,seconds_elapsed,magneticBearing
1781555365959234816,0.04526662826538086,232.01394653320312
1781555365969269760,0.055301666259765625,232.02984619140625
1781555365979304448,0.06533646583557129,232.0222625732422
1781555365989339648,0.07537150382995605,231.9677734375
1781555365999374592,0.08540654182434082,231.97238159179688
1781555366009409792,0.09544157981872559,231.93624877929688
1781555366019444736,0.10547661781311035,231.90264892578125
1781555366029479680,0.11551165580749512,231.87130737304688
1781555366039514880,0.12554669380187988,231.84535217285156
1781555366049549568,0.13558149337768555,231.8261260986328
1781555366059584512,0.1456165313720703,231.8169403076172
1781555366069620736,0.15565252304077148,231.81114196777344
1781555366079655680,0.16568756103515625,231.79612731933594
1781555366089690624,0.17572259902954102,231.7609100341797
1781555366099725824,0.18575763702392578,231.7016143798828
1781555366109760768,0.19579267501831055,231.63314819335938
1781555366119795456,0.2058274745941162,231.56973266601562
1781555366129830656,0.21586251258850098,231.51437377929688
1781555366139865600,0.22589755058288574,231.4677276611328
1781555366149900800,0.2359325885772705,231.4293212890625
1781555366159935744,0.24596762657165527,231.40158081054688
1781555366169971712,0.25600361824035645,231.38633728027344
1781555366180006656,0.2660386562347412,231.36758422851562
1781555366190041856,0.276073694229126,231.33004760742188
1781555366200076544,0.28610849380493164,231.28363037109375
1781555366210111744,0.2961435317993164,231.23583984375
1781555366220146688,0.30617856979370117,231.1825408935547
1781555366230181632,0.31621360778808594,231.11868286132812
1781555366240216832,0.3262486457824707,231.05369567871094
1781555366250251776,0.33628368377685547,231.00759887695312
1781555366260286464,0.34631848335266113,230.9819793701172
1781555366270321664,0.3563535213470459,230.98414611816406
1781555366280357120,0.36638903617858887,231.00772094726562
1781555366290392064,0.37642407417297363,231.04913330078125
1781555366300427264,0.3864591121673584,231.10569763183594
1781555366310462208,0.39649415016174316,231.17173767089844
1781555366320497152,0.40652894973754883,231.25692749023438
1781555366330532096,0.4165639877319336,231.3793487548828
1781555366340567040,0.42659902572631836,231.51710510253906
1781555366350602240,0.4366340637207031,231.6763916015625
1781555366360637184,0.4466691017150879,231.8630828857422
1781555366370672128,0.45670413970947266,232.0620574951172
1781555366380708096,0.46674013137817383,232.26864624023438
1781555366390743040,0.4767749309539795,232.47073364257812
1781555366400777984,0.48680996894836426,232.66677856445312
1781555366410813184,0.496845006942749,232.87547302246094
1781555366420848128,0.5068800449371338,233.09951782226562
1781555366430883072,0.5169150829315186,233.3365020751953
1781555366440918272,0.5269501209259033,233.57530212402344
1781555366450953216,0.5369851589202881,233.79803466796875
1781555366460988160,0.5470199584960938,233.99807739257812
1781555366471023104,0.5570549964904785,234.19052124023438
1781555366481059072,0.5670909881591797,234.3866424560547
1781555366491094016,0.5771260261535645,234.59909057617188
1781555366501129216,0.5871610641479492,234.83053588867188
1781555366511164160,0.597196102142334,235.06817626953125
1781555366521199104,0.6072311401367188,235.31033325195312
1781555366531234048,0.6172659397125244,235.53536987304688
1781555366541268992,0.6273009777069092,235.7478790283203
1781555366551304192,0.637336015701294,235.9902801513672
1781555366561339136,0.6473710536956787,236.2596435546875
1781555366571374080,0.6574060916900635,236.53744506835938
1781555366581410048,0.6674420833587646,236.82058715820312
1781555366591445248,0.6774771213531494,237.12295532226562
1781555366601480192,0.6875121593475342,237.43844604492188
1781555366611515136,0.6975469589233398,237.788818359375
1781555366621550080,0.7075819969177246,238.18408203125
1781555366631585024,0.7176170349121094,238.54391479492188
1781555366641620224,0.7276520729064941,238.84214782714844
1781555366651655168,0.7376871109008789,239.0854034423828
1781555366661690112,0.7477221488952637,239.36517333984375
1781555366671725056,0.7577569484710693,239.61021423339844
1781555366681760000,0.7677919864654541,239.74844360351562
1781555366691795968,0.7778279781341553,239.69656372070312
1781555366701831168,0.78786301612854,239.5021209716797
1781555366711866112,0.7978980541229248,239.1755828857422
1781555366721901056,0.8079330921173096,238.79916381835938
1781555366731936256,0.8179681301116943,238.3582000732422
1781555366741970944,0.8280029296875,237.6617431640625
1781555366752006144,0.8380379676818848,236.95457458496094
1781555366762041088,0.8480730056762695,236.2054443359375
1781555366772076032,0.8581080436706543,235.3276824951172
1781555366782112000,0.8681440353393555,234.28797912597656
1781555366792147200,0.8781790733337402,233.28512573242188
1781555366802182144,0.888214111328125,232.1815185546875
1781555366812217344,0.8982491493225098,230.96829223632812
1781555366822252032,0.9082839488983154,229.64883422851562
1781555366832286976,0.9183189868927002,228.22727966308594
1781555366842322176,0.928354024887085,226.68624877929688
1781555366852357120,0.9383890628814697,224.9893035888672
1781555366862392064,0.9484241008758545,223.17144775390625
1781555366872427264,0.9584591388702393,221.28591918945312
1781555366882463232,0.9684951305389404,219.34027099609375
1781555366892497920,0.9785299301147461,217.32028198242188
