time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1780771432181096192,-202.04099893569946,49.42988163692206,11.08228884596157,47.30743408203125,0.0,-1.0,-1.0,-1.0,34.054837256658466,-1.0,-1.0
1780771479250744832,-154.97135019302368,49.42988163692206,11.08228884596157,0.0,0.0,-1.0,-1.0,-1.0,73.695014,-1.0,-1.0
1780771634576516096,0.35442113876342773,49.42997686170217,11.082286578155298,47.30744552612305,0.0,-1.0,-1.0,-1.0,39.99513660730469,-1.0,-1.0
1780771640962862080,6.740767002105713,49.429910868974886,11.08227298469841,0.0,312.5500058706067,-1.0,-1.0,13.95738006063806,14.195014,-1.0,-1.0
1780771640989550080,6.767455101013184,49.429910862737714,11.082273049636354,358.1400060231946,312.5500058706067,-1.0,-1.0,9.548949336297703,14.051605034721037,-1.0,-1.0
1780771641548812800,7.326717853546143,49.4299150331836,11.082278110928087,358.1400060231946,312.5500058706067,-1.0,-1.0,9.548957160178267,11.842200375517853,-1.0,-1.0
1780771647114532096,12.892436981201172,49.429893202072634,11.08230935361138,47.30742263793945,0.0,-1.0,-1.0,-1.0,39.316210752426564,-1.0,-1.0
1780771653318631168,19.09653615951538,49.430096348818246,11.082061494013509,47.307594299316406,0.0,-1.0,-1.0,-1.0,39.75725981994775,-1.0,-1.0
1780771659529742080,25.307646989822388,49.42993766961144,11.082316058804578,47.3073616027832,0.0,-1.0,-1.0,-1.0,34.375986560208894,-1.0,-1.0
1780771665741819904,31.51972484588623,49.42987601983026,11.082397132826994,47.307308197021484,0.0,-1.0,-1.0,-1.0,67.34081435883341,-1.0,-1.0
1780771671953502208,37.731407165527344,49.42987601983026,11.082397132826994,47.30756378173828,0.0,-1.0,-1.0,-1.0,67.34081435883341,-1.0,-1.0
