time,seconds_elapsed,relativeAltitude,pressure
1780773233432904960,5.981210947036743,-0.029998779296875,97.94699096679688
1780773236003523840,8.551829814910889,-0.07999992370605469,97.947265625
1780773238564291840,11.112597942352295,-0.06999969482421875,97.94779205322266
1780773241146639872,13.694945812225342,-0.05999946594238281,97.94740295410156
1780773243700441856,16.24874782562256,-0.09000015258789062,97.9473648071289
1780773246269353984,18.817659854888916,-0.04999923706054688,97.94734954833984
1780773248837894912,21.38620090484619,-0.03999900817871094,97.94712829589844
1780773251410841088,23.959146976470947,-0.04999923706054688,97.94709777832031
1780773253972497920,26.520803928375244,-0.07999992370605469,97.9473648071289
1780773256548510976,29.096817016601562,-0.09000015258789062,97.9476089477539
1780773259114070784,31.662376880645752,-0.09000015258789062,97.9477310180664
1780773261681792000,34.2300980091095,-0.09999847412109375,97.94774627685547
1780773264250555904,36.79886198043823,-0.09999847412109375,97.94771575927734
1780773266824343040,39.37264895439148,-0.09000015258789062,97.9476089477539
1780773269377671936,41.92597794532776,-0.1099987030029297,97.9476089477539
1780773271950448896,44.49875497817993,-0.09999847412109375,97.94794464111328
1780773274529111808,47.077417850494385,-0.1199989318847656,97.94806671142578
1780773277089169920,49.63747596740723,-0.09999847412109375,97.9478530883789
1780773279662210048,52.21051597595215,-0.029998779296875,97.94762420654297
