time,seconds_elapsed,bpm
1780586888671836928,37.958836793899536,144.0
1780586895671836928,44.958836793899536,145.0
1780586900671836928,49.958836793899536,133.0
1780586905671836928,54.958836793899536,122.0
1780586910671836928,59.958836793899536,118.0
1780586913671836928,62.958836793899536,119.0
1780586916671836928,65.95883679389954,120.0
1780586925671836928,74.95883679389954,115.0
1780586929671836928,78.95883679389954,113.0
1780586931671836928,80.95883679389954,114.0
1780586938671836928,87.95883679389954,108.0
1780586945671836928,94.95883679389954,108.0
1780586947671836928,96.95883679389954,109.0
1780586953671836928,102.95883679389954,105.0
1780586959671836928,108.95883679389954,108.0
1780586961671836928,110.95883679389954,109.0
1780586970671836928,119.95883679389954,107.00000000000001
1780586971671836928,120.95883679389954,107.00000000000001
1780586978671836928,127.95883679389954,106.0
1780586983671836928,132.95883679389954,105.0
1780586990671836928,139.95883679389954,108.0
1780586995671836928,144.95883679389954,110.0
1780586996671836928,145.95883679389954,110.0
1780587003671836928,152.95883679389954,110.0
1780587009671836928,158.95883679389954,110.0
1780587011671836928,160.95883679389954,109.0
1780587019671836928,168.95883679389954,95.0
1780587023671836928,172.95883679389954,94.0
1780587028671836928,177.95883679389954,99.0
1780587035671836928,184.95883679389954,94.0
1780587036671836928,185.95883679389954,93.0
1780587045671836928,194.95883679389954,109.0
1780587048671836928,197.95883679389954,110.0
1780587052671836928,201.95883679389954,111.0
1780587056671836928,205.95883679389954,108.0
1780587061671836928,210.95883679389954,115.0
1780587066671836928,215.95883679389954,125.00000000000001
1780587074671836928,223.95883679389954,136.0
1780587076671836928,225.95883679389954,138.0
