time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1780586460625170944,-17.03357195854187,49.429978143463636,11.082405726346108,374.46978719401983,328.87978704143194,-1.0,-1.0,188.14758556355326,22.585053442744652,-1.0,-1.0
1780586477687945728,0.029202938079833984,49.429978143463636,11.082405726346108,374.46978719401983,328.87978704143194,-1.0,-1.0,188.14758556355326,22.585053442744652,-1.0,-1.0
1780586477992402176,0.33365917205810547,49.42997001064477,11.082180317885616,374.4699702994886,328.8799701469007,-1.0,-1.0,188.14789557993183,20.469473351752505,-1.0,-1.0
1780586484431393024,6.772650241851807,49.42993977131296,11.082210396445856,374.46985204387335,328.87985189128545,-1.0,-1.0,188.14800291142916,25.738096859885562,-1.0,-1.0
1780586490712109056,13.05336618423462,49.43004886975938,11.082502427512619,374.46964986491827,328.8796497123304,-1.0,-1.0,188.14810264947394,19.087354272526028,-1.0,-1.0
1780586496912416000,19.25367307662964,49.42996985341511,11.082467588491868,374.46976049113897,328.8797603385511,-1.0,-1.0,188.14820602000518,18.13417224461708,-1.0,-1.0
1780586503150385920,25.491642951965332,49.42993541320425,11.082565734597038,374.46963842082647,328.8796382682386,-1.0,-1.0,188.14829573531557,18.362313187622703,-1.0,-1.0
1780586509434053888,31.77531099319458,49.42995143466943,11.082389193732629,374.4698596732679,328.87985952068,-1.0,-1.0,188.14839808064187,17.995968091070864,-1.0,-1.0
1780586515664829952,38.00608706474304,49.4299194793469,11.082362417121269,374.46981771159795,328.87981755901006,-1.0,-1.0,188.1484850888526,17.840146248589072,-1.0,-1.0
1780586521873355008,44.21461200714111,49.429907598824514,11.082349456916488,374.46981771159795,328.87981755901006,-1.0,-1.0,188.14860007127427,17.944491276371984,-1.0,-1.0
