time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1781515396245662464,0.07177543640136719,0.1885848194360733,0.06498967856168747,0.22108206152915955,0.953719437122345,-0.004897827748209238,-0.30065780878067017,0.05398613214492798,0.006973032373934984,0.053648561239242554,-0.7980583819582927,-0.08798627273342143,-0.584747390856453,0.11589494802618883,0.00489784754314871,1.2654102264361886,-0.2920174074972444
1781515396255696640,0.08180952072143555,0.15987834334373474,0.037217702716588974,0.17478486895561218,0.9538788795471191,-0.007424769923090935,-0.30010002851486206,-0.06220102310180664,0.051949914544820786,-0.01494818925857544,-0.7979183212661355,-0.08941362240863866,-0.5847693484008448,0.11565651078962451,0.0074248382952251885,1.2659901565711438,-0.2933383285190205
1781515396265729792,0.0918428897857666,0.09567804634571075,-0.023499174043536186,0.125334233045578,0.9538816809654236,-0.009226043708622456,-0.3000412583351135,0.001547396183013916,-0.04514102637767792,0.049568235874176025,-0.7979350444995805,-0.09034565392669942,-0.5846512103396416,0.11541401123700441,0.009226174944608421,1.2660470661472765,-0.2940591295808835
1781515396275763712,0.10187673568725586,0.13776211440563202,0.004897580482065678,0.10973690450191498,0.9538190364837646,-0.010714434087276459,-0.30019086599349976,0.0025866031646728516,-0.08410368859767914,0.055714547634124756,-0.7979992464894274,-0.09115566177797155,-0.584461477179977,0.11529405265416055,0.010714639187323217,1.265885551134617,-0.2948326845426437
1781515396285796864,0.11190986633300781,0.19122560322284698,0.05403343588113785,0.0807100459933281,0.9538983702659607,-0.012118903920054436,-0.2998853623867035,-0.03638726472854614,0.03668553754687309,-0.02979603409767151,-0.7978904476776449,-0.09211194141052263,-0.5844422187743183,0.11538486482873221,0.01211920017580806,1.2662007855229942,-0.2961276531471501
1781515396295830784,0.12194371223449707,0.14881743490695953,0.05674746260046959,0.05336044728755951,0.9540663361549377,-0.013290251605212688,-0.29930058121681213,-0.026240408420562744,0.032348472625017166,-0.03689628839492798,-0.797678106713515,-0.09303270889061897,-0.5845465076338268,0.11558537831687216,0.013290642998985556,1.266809071782266,-0.2975613881054353
1781515396305864704,0.13197779655456543,0.09682480245828629,0.051665619015693665,0.03651648759841919,0.9542169570922852,-0.014066793024539948,-0.29878443479537964,-0.0016870498657226562,-0.060853857547044754,0.013124704360961914,-0.7974944881597962,-0.09366846576227414,-0.5846657129180676,0.1157356881020712,0.014067257082727477,1.2673466816183696,-0.2985720487779604
1781515396315898880,0.1420118808746338,0.07864580303430557,0.06146552041172981,0.01978437788784504,0.9543818235397339,-0.014602231793105602,-0.2982318699359894,0.0008641481399536133,-0.02526899240911007,0.025297939777374268,-0.7973038176411545,-0.09413832925333154,-0.5848265055024648,0.11585612603133945,0.014602750921208035,1.2679233433595491,-0.29933587898211494
1781515396325932800,0.15204572677612305,0.01846501976251602,0.05971675366163254,0.029441531747579575,0.9545657634735107,-0.014972840435802937,-0.29762426018714905,-0.022024810314178467,0.019153738394379616,-0.0073532164096832275,-0.7971089618917354,-0.09444635207996897,-0.585036547808867,0.11588611654187697,0.014973399707077879,1.2685582498255812,-0.29975899715060245
1781515396335966720,0.1620798110961914,-0.08652611076831818,0.008836795575916767,0.03567119687795639,0.9546675086021423,-0.01518719270825386,-0.2972869277000427,-0.015977203845977783,-0.03272541984915733,0.026641756296157837,-0.7970379581819701,-0.09443450603655294,-0.5851825888612808,0.11564645065511119,0.015187776856358234,1.268910600223293,-0.29935723567560474
