time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1780773521323937792,-93.00817513465881,49.42986167011642,11.082280086290792,352.0300060231946,306.4400058706067,-1.0,-1.0,10.557237779562643,16.082212329285714,-1.0,-1.0
1780773614024609024,-0.30750393867492676,49.429872091384134,11.082287575692055,0.0,316.90497097643015,-1.0,-1.0,54.609144748027255,81.395014,-1.0,-1.0
1780773614940496896,0.6083838939666748,49.429859688902205,11.082278618919052,364.2171861698988,318.6271860173109,-1.0,-1.0,55.83277364417694,21.54539575662562,-1.0,-1.0
1780773621288002048,6.955888986587524,49.429863236672574,11.082283279790373,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,19.40995346368611,-1.0,-1.0
1780773627653829120,13.321716070175171,49.42986297637828,11.082280882692833,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,21.941984370152685,-1.0,-1.0
1780773634017379072,19.68526601791382,49.42986418067598,11.082284413208553,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,21.420936079861182,-1.0,-1.0
1780773640304441856,25.972328901290894,49.4298581710358,11.082278595820354,0.0,306.4400083730481,-1.0,-1.0,10.869474850028098,19.495013999999998,-1.0,-1.0
1780773640328579072,25.996465921401978,49.42985816826069,11.082278768774238,352.0300060231946,306.4400058706067,-1.0,-1.0,10.607169480122385,23.030464606378725,-1.0,-1.0
1780773640986285056,26.65417194366455,49.42986070447547,11.082279889658,352.0300060231946,306.4400058706067,-1.0,-1.0,10.607175841302709,15.908234709362212,-1.0,-1.0
1780773646408377088,32.07626414299011,49.42986304333388,11.0822809238034,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,21.988981084004585,-1.0,-1.0
1780773652607012864,38.27489995956421,49.42986677476871,11.082284908733975,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,22.953201552435527,-1.0,-1.0
1780773658800091136,44.46797800064087,49.42986296952653,11.08228087154955,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,21.958971846451302,-1.0,-1.0
1780773664992794880,50.66068196296692,49.42986677445918,11.08228490851148,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,22.953172931993866,-1.0,-1.0
1780773671188938240,56.85682511329651,49.42986298916991,11.082280885061435,365.2074340820312,319.61743392944334,-1.0,-1.0,30.0,21.958937714045092,-1.0,-1.0
1780773677444203776,63.112090826034546,49.42985132930931,11.082273091720644,352.0300060231946,306.4400058706067,-1.0,-1.0,10.635704393674072,19.335485115416617,-1.0,-1.0
1780773677444747008,63.11263394355774,49.429851325386416,11.082273088876141,352.0300060231946,306.4400058706067,-1.0,-1.0,10.635716864532137,19.344752864479098,-1.0,-1.0
1780773677444747008,63.11263394355774,49.42985132538641,11.08227308887614,352.0300060231946,306.4400058706067,-1.0,-1.0,10.638807503056523,19.344752864479094,-1.0,-1.0
1780773677470444032,63.138330936431885,49.42985132470985,11.082273211911266,352.0300060231946,306.4400058706067,-1.0,-1.0,10.638813541200776,19.34307998417152,-1.0,-1.0
1780773683578488832,69.24637579917908,49.42985918328001,11.082269728244464,365.207445526123,319.61744537353513,-1.0,-1.0,30.0,54.16791765638871,-1.0,-1.0
