time,seconds_elapsed,bpm
1780773621013405184,6.6812920570373535,117.0
1780773623013405184,8.681292057037354,117.0
1780773627013405184,12.681292057037354,117.0
1780773632013405184,17.681292057037354,121.0
1780773656013405184,41.68129205703735,134.0
1780773659013405184,44.68129205703735,133.0
1780773663013405184,48.68129205703735,134.0
1780773667013405184,52.68129205703735,134.0
1780773676013405184,61.68129205703735,134.0
1780773680013405184,65.68129205703735,133.0
1780773683013405184,68.68129205703735,134.0
