time,seconds_elapsed,relativeAltitude,pressure
1780420627888288000,5.561005115509033,-0.1200000047683716,96.7068099975586
1780420630457315072,8.130032062530518,-0.1299999952316284,96.7052993774414
1780420633546497792,11.219214916229248,0.01999998092651367,96.70453643798828
1780420635642740992,13.315458059310913,0.2400000095367432,96.7029800415039
1780420638141034240,15.813751220703125,0.2699999809265137,96.70046997070312
1780420640771332864,18.444050073623657,0.2400000095367432,96.70032501220703
1780420643297178112,20.969895124435425,0.2300000190734863,96.70075225830078
1780420645908706048,23.581423044204712,0.2100000381469727,96.7011947631836
1780420648450208000,26.12292504310608,0.1599999666213989,96.70152282714844
1780420651034639872,28.707356929779053,0.1200000047683716,96.70221710205078
1780420653623302912,31.296020030975342,0.1599999666213989,96.70216369628906
1780420656140798208,33.813515186309814,0.2100000381469727,96.7015380859375
1780420658719214080,36.39193105697632,0.1599999666213989,96.7015380859375
1780420661260870912,38.9335880279541,0.09000003337860107,96.70404815673828
