time,seconds_elapsed,relativeAltitude,pressure
1781552674478370048,5.148234128952026,-0.01999950408935547,97.91632843017578
1781552677044262912,7.714127063751221,-0.05999946594238281,97.91657257080078
1781552679618164992,10.288029193878174,-0.07999992370605469,97.9167251586914
1781552682169049856,12.838914155960083,-0.09000015258789062,97.91693115234375
1781552684739384064,15.409248352050781,-0.09999942779541016,97.91716003417969
1781552687314477824,17.984342098236084,-0.09000015258789062,97.91712951660156
1781552689878263040,20.54812717437744,-0.09000015258789062,97.91703796386719
1781552692446429952,23.116294145584106,-0.09999942779541016,97.91704559326172
1781552695018605056,25.688469171524048,-0.1099996566772461,97.91717529296875
1781552697582563840,28.25242805480957,-0.119999885559082,97.91734313964844
1781552700156146176,30.82601022720337,-0.07999992370605469,97.91707611083984
1781552702727374080,33.39723825454712,-0.09000015258789062,97.91702270507812
1781552705294204928,35.9640691280365,-0.09999942779541016,97.9169921875
1781552707867805952,38.53767013549805,-0.09999942779541016,97.91705322265625
1781552710433752064,41.10361623764038,-0.130000114440918,97.91735076904297
1781552712993626112,43.663490295410156,-0.1599998474121094,97.9176254272461
1781552715570908160,46.24077224731445,-0.1399993896484375,97.9176254272461
1781552718146283264,48.816147327423096,-0.1099996566772461,97.9172134399414
1781552720720046080,51.38991022109985,-0.130000114440918,97.91719055175781
1781552723284186880,53.95405101776123,-0.119999885559082,97.91748809814453
1781552725845160960,56.51502513885498,-0.119999885559082,97.9173355102539
1781552728419890944,59.089755058288574,-0.119999885559082,97.91732025146484
1781552730999414016,61.669278144836426,-0.1099996566772461,97.91734313964844
1781552733561886976,64.23175120353699,-0.119999885559082,97.91732025146484
1781552736128280064,66.79814434051514,-0.1099996566772461,97.91734313964844
1781552738694954752,69.3648190498352,-0.09999942779541016,97.91706085205078
1781552741260069888,71.92993402481079,-0.1099996566772461,97.9170150756836
1781552743823769088,74.49363327026367,-0.1399993896484375,97.91748809814453
1781552746392151808,77.06201601028442,-0.1399993896484375,97.91755676269531
1781552748966147840,79.63601207733154,-0.1399993896484375,97.91761779785156
1781552751533564928,82.20342922210693,-0.130000114440918,97.91754150390625
1781552754099675136,84.76953935623169,-0.130000114440918,97.9175033569336
1781552756668166144,87.33803033828735,-0.130000114440918,97.91746520996094
1781552759237617920,89.9074821472168,-0.09999942779541016,97.91726684570312
1781552761814956032,92.48482012748718,-0.1099996566772461,97.91718292236328
1781552764375764736,95.04562902450562,-0.130000114440918,97.91741180419922
1781552766942245888,97.61211013793945,-0.119999885559082,97.91747283935547
