time,seconds_elapsed,relativeAltitude,pressure
1781555371885319936,5.971351861953735,-0.04000091552734375,97.9869384765625
1781555374514546944,8.600578784942627,0,97.98649597167969
1781555377016040960,11.102072954177856,-0.01000022888183594,97.98641204833984
1781555379587741952,13.673773765563965,0,97.98654174804688
1781555382152322048,16.238353967666626,-0.01000022888183594,97.98661041259766
1781555384718810112,18.804841995239258,-0.03000068664550781,97.986572265625
1781555387297038080,21.38306999206543,-0.05000114440917969,97.98677062988281
1781555389860971008,23.94700288772583,-0.05000114440917969,97.98697662353516
1781555392422945024,26.508976936340332,-0.05999946594238281,97.98710632324219
1781555394994627840,29.080659866333008,-0.05999946594238281,97.98712921142578
1781555397563678976,31.64971089363098,-0.05999946594238281,97.98704528808594
1781555400139421952,34.22545385360718,-0.05999946594238281,97.98699188232422
1781555402705163008,36.791194915771484,-0.04000091552734375,97.98694610595703
1781555405279137024,39.365169048309326,-0.05000114440917969,97.98699188232422
1781555407839294976,41.92532682418823,-0.06999969482421875,97.98713684082031
1781555410408046080,44.494077920913696,-0.06999969482421875,97.98713684082031
1781555412984004864,47.07003688812256,-0.05999946594238281,97.98712921142578
1781555415546180096,49.63221192359924,-0.06999969482421875,97.9869384765625
1781555418119781888,52.20581388473511,-0.06999969482421875,97.98705291748047
1781555420687360000,54.77339196205139,-0.05999946594238281,97.98705291748047
1781555423251989760,57.338021755218506,-0.04000091552734375,97.98711395263672
