time,seconds_elapsed,magneticBearing
1780586851243129088,0.5301289558410645,245.0709228515625
1780586851253164032,0.5401639938354492,245.03973388671875
1780586851263198976,0.5501987934112549,245.0186767578125
1780586851273232896,0.5602328777313232,245.01266479492188
1780586851283268096,0.570267915725708,245.02301025390625
1780586851293303040,0.5803029537200928,245.04904174804688
1780586851303337984,0.5903379917144775,245.0820770263672
1780586851313372928,0.6003727912902832,245.11740112304688
1780586851323406848,0.6104068756103516,245.16854858398438
1780586851333442048,0.6204419136047363,245.08883666992188
1780586851343476992,0.6304769515991211,245.17495727539062
1780586851353509888,0.640509843826294,245.19927978515625
1780586851363543808,0.6505436897277832,245.1964111328125
1780586851373578752,0.660578727722168,245.19924926757812
1780586851383613952,0.6706137657165527,245.18356323242188
1780586851393648896,0.6806488037109375,245.14923095703125
1780586851403683072,0.6906828880310059,245.08218383789062
1780586851413717760,0.7007176876068115,244.99200439453125
1780586851423752704,0.7107527256011963,244.87481689453125
1780586851433787904,0.720787763595581,244.7271728515625
1780586851443821824,0.7308218479156494,244.55322265625
1780586851453857024,0.7408568859100342,244.3546142578125
1780586851463891712,0.7508916854858398,244.13919067382812
1780586851473926656,0.7609267234802246,243.925048828125
1780586851483960832,0.770960807800293,243.7236328125
1780586851493996032,0.7809958457946777,243.53466796875
1780586851504030976,0.7910308837890625,243.35662841796875
1780586851514065664,0.8010656833648682,243.18145751953125
1780586851524099840,0.8110997676849365,243.00070190429688
1780586851534134784,0.8211348056793213,242.8089599609375
1780586851544169984,0.831169843673706,242.60418701171875
1780586851554204928,0.8412048816680908,242.3877716064453
1780586851564239616,0.8512396812438965,242.1541748046875
1780586851574273792,0.8612737655639648,241.89334106445312
1780586851584308736,0.8713088035583496,241.5941162109375
1780586851594343936,0.8813438415527344,241.24490356445312
1780586851604378880,0.8913788795471191,240.83741760253906
1780586851614412800,0.9014127254486084,240.3629150390625
1780586851624447744,0.9114477634429932,239.8153076171875
1780586851634482944,0.9214828014373779,239.19009399414062
1780586851644517888,0.9315178394317627,238.4857940673828
1780586851654551808,0.941551685333252,237.70729064941406
1780586851664586752,0.9515867233276367,236.86007690429688
1780586851674621696,0.9616217613220215,235.9490509033203
1780586851684656896,0.9716567993164062,234.97247314453125
1780586851694690816,0.9816908836364746,233.9290313720703
1780586851704725760,0.9917256832122803,232.81024169921875
1780586851714760704,1.001760721206665,231.606689453125
1780586851724795904,1.0117957592010498,230.31768798828125
1780586851734830848,1.0218307971954346,228.9402618408203
1780586851744865024,1.031864881515503,227.4750213623047
1780586851754899712,1.0418996810913086,225.92135620117188
1780586851764934656,1.0519347190856934,224.2696533203125
1780586851774969856,1.0619697570800781,222.50411987304688
1780586851785003776,1.0720038414001465,220.62220764160156
1780586851795038976,1.0820388793945312,218.6172637939453
1780586851805073664,1.092073678970337,216.48458862304688
1780586851815108864,1.1021087169647217,214.22654724121094
1780586851825142784,1.11214280128479,211.84573364257812
1780586851835177984,1.1221778392791748,209.34034729003906
1780586851845212928,1.1322128772735596,206.71304321289062
1780586851855247616,1.1422476768493652,203.96449279785156
1780586851865281792,1.1522817611694336,201.1046600341797
1780586851875316736,1.1623167991638184,198.13424682617188
1780586851885351936,1.1723518371582031,195.06320190429688
1780586851895386880,1.182386875152588,191.90057373046875
1780586851905420800,1.1924207210540771,188.6456298828125
1780586851915455744,1.202455759048462,185.30987548828125
1780586851925490944,1.2124907970428467,181.89524841308594
1780586851935525888,1.2225258350372314,178.40353393554688
1780586851945560832,1.2325608730316162,174.85595703125
1780586851955594752,1.2425947189331055,171.26654052734375
1780586851965629696,1.2526297569274902,167.6355743408203
1780586851975664896,1.262664794921875,163.9772186279297
1780586851985699840,1.2726998329162598,160.3025360107422
1780586851995733760,1.282733678817749,156.60794067382812
1780586852005768704,1.2927687168121338,152.89842224121094
1780586852015803904,1.3028037548065186,149.1682891845703
1780586852025838848,1.3128387928009033,145.4211883544922
1780586852035873024,1.3228728771209717,141.698974609375
1780586852045907712,1.3329076766967773,138.00103759765625
1780586852055942656,1.342942714691162,134.36306762695312
1780586852065977856,1.3529777526855469,130.82325744628906
1780586852076012800,1.3630127906799316,127.40628051757812
1780586852086046976,1.373046875,124.07464599609375
1780586852096081664,1.3830816745758057,120.83740997314453
1780586852106116864,1.3931167125701904,117.71615600585938
1780586852116151808,1.4031517505645752,114.70989990234375
1780586852126185984,1.4131858348846436,111.8522720336914
1780586852136220928,1.4232208728790283,109.15177154541016
1780586852146255616,1.433255672454834,106.59732055664062
1780586852156290816,1.4432907104492188,104.17932891845703
1780586852166324736,1.453324794769287,101.87922668457031
1780586852176359936,1.4633598327636719,99.71749877929688
1780586852186394880,1.4733948707580566,97.7008056640625
1780586852196429824,1.4834296703338623,95.84343719482422
1780586852206464768,1.493464708328247,94.15118408203125
1780586852216498944,1.5034987926483154,92.63106536865234
1780586852226533888,1.5135338306427002,91.2484359741211
1780586852236568832,1.523568868637085,89.94528198242188
1780586852246603776,1.5336036682128906,88.69803619384766
1780586852256637696,1.543637752532959,87.47782135009766
1780586852266672896,1.5536727905273438,86.26629638671875
1780586852276707840,1.5637078285217285,85.10785675048828
1780586852286743040,1.5737428665161133,84.0143051147461
1780586852296776704,1.5837767124176025,82.99114227294922
1780586852306811904,1.5938117504119873,82.01948547363281
1780586852316846848,1.603846788406372,81.08845520019531
1780586852326881792,1.6138818264007568,80.1916732788086
1780586852336916992,1.6239168643951416,79.31586456298828
1780586852346950656,1.6339507102966309,78.50167846679688
1780586852356986112,1.6439859867095947,77.77322387695312
1780586852367021056,1.6540210247039795,77.13601684570312
1780586852377056000,1.6640558242797852,76.5716323852539
1780586852387089920,1.6740899085998535,76.04180145263672
1780586852397125120,1.6841249465942383,75.5293960571289
1780586852407160064,1.694159984588623,75.05043029785156
1780586852417195008,1.7041950225830078,74.60871887207031
1780586852427229952,1.7142298221588135,74.1693344116211
1780586852437263872,1.7242639064788818,73.71450805664062
1780586852447299072,1.7342989444732666,73.21703338623047
1780586852457334016,1.7443339824676514,72.64540100097656
1780586852467368960,1.7543690204620361,71.99647521972656
1780586852477402880,1.7644028663635254,71.29129028320312
1780586852487438080,1.7744379043579102,70.55538177490234
1780586852497473024,1.784472942352295,69.78955078125
1780586852507507968,1.7945079803466797,69.000732421875
1780586852517541888,1.804541826248169,68.18170166015625
1780586852527576832,1.8145768642425537,67.30937194824219
1780586852537612032,1.8246119022369385,66.36317443847656
1780586852547646976,1.8346469402313232,65.35517883300781
1780586852557681920,1.844681978225708,64.33729553222656
1780586852567715840,1.8547158241271973,63.365604400634766
1780586852577751040,1.864750862121582,62.45920181274414
1780586852587785984,1.8747859001159668,61.61111831665039
1780586852597820928,1.8848209381103516,60.81623077392578
1780586852607855104,1.89485502243042,60.08020782470703
1780586852617889792,1.9048898220062256,59.41288757324219
1780586852627924992,1.9149248600006104,58.79915237426758
1780586852637959936,1.9249598979949951,58.20909118652344
1780586852647994880,1.9349949359893799,57.6685905456543
1780586852658029056,1.9450290203094482,57.21125030517578
1780586852668064000,1.955063819885254,56.84044647216797
1780586852678098944,1.9650988578796387,56.566917419433594
1780586852688133888,1.9751338958740234,56.35796356201172
1780586852698168064,1.9851679801940918,56.20819091796875
1780586852708203008,1.9952030181884766,56.134498596191406
1780586852718237952,2.0052378177642822,56.118858337402344
1780586852728272896,2.015272855758667,56.18928146362305
1780586852738307840,2.0253078937530518,56.369754791259766
1780586852748342016,2.03534197807312,56.66256332397461
1780586852758376960,2.045377016067505,57.069297790527344
1780586852768411904,2.0554118156433105,57.600372314453125
1780586852778446848,2.0654468536376953,58.2460823059082
1780586852788481024,2.0754809379577637,58.961700439453125
1780586852798515968,2.0855159759521484,59.69325637817383
1780586852808551168,2.095551013946533,60.41747283935547
1780586852818585856,2.105585813522339,61.1199951171875
1780586852828620800,2.1156208515167236,61.826412200927734
1780586852838654976,2.125654935836792,62.59058380126953
1780586852848689920,2.1356899738311768,63.42439270019531
1780586852858725120,2.1457250118255615,64.3128890991211
1780586852868759808,2.155759811401367,65.26805877685547
1780586852878793984,2.1657938957214355,66.31450653076172
1780586852888828928,2.1758289337158203,67.46883392333984
1780586852898864128,2.185863971710205,68.72880554199219
