time,seconds_elapsed,bpm
1780494786375982848,7.688872814178467,129.0
1780494816375982848,37.68887281417847,159.0
1780494817375982848,38.68887281417847,159.0
1780494826375982848,47.68887281417847,149.0
1780494829375982848,50.68887281417847,146.0
1780494836375982848,57.68887281417847,139.00000000000003
1780494841375982848,62.68887281417847,138.0
1780494846375982848,67.68887281417847,137.0
1780494847375982848,68.68887281417847,137.0
1780494854375982848,75.68887281417847,133.0
1780494858375982848,79.68887281417847,134.0
1780494862375982848,83.68887281417847,132.0
1780494871375982848,92.68887281417847,125.00000000000001
1780494872375982848,93.68887281417847,125.00000000000001
1780494880375982848,101.68887281417847,120.0
1780494884375982848,105.68887281417847,116.0
1780494891375982848,112.68887281417847,120.0
1780494892375982848,113.68887281417847,120.0
1780494898375982848,119.68887281417847,119.0
1780494906375982848,127.68887281417847,122.0
1780494911375982848,132.68887281417847,120.0
1780494916375982848,137.68887281417847,120.0
1780494917375982848,138.68887281417847,120.0
1780494922375982848,143.68887281417847,120.0
1780494927375982848,148.68887281417847,124.00000000000001
1780494933375982848,154.68887281417847,135.0
1780494940375982848,161.68887281417847,144.0
1780494944375982848,165.68887281417847,146.0
