time,seconds_elapsed,relativeAltitude,pressure
1781515648037605120,3.9160330295562744,0.1099996566772461,97.70487976074219
1781515650672403968,6.550832033157349,0.2699999809265137,97.70134735107422
1781515653180752128,9.05918002128601,0.2300000190734863,97.70122528076172
1781515655777515008,11.655942916870117,0,97.70299530029297
1781515658329360896,14.207788944244385,-0.09000015258789062,97.70545196533203
1781515660902258944,16.780686855316162,-0.2400002479553223,97.70606231689453
1781515663457332992,19.335761070251465,-0.4600002765655518,97.70829772949219
1781515666032904192,21.91133213043213,-0.4500002861022949,97.7100601196289
1781515668603441920,24.48186993598938,-0.2900002002716064,97.70890045166016
1781515671179173888,27.057601928710938,-0.2900002002716064,97.70801544189453
1781515673736712960,29.615140914916992,-0.3300001621246338,97.70821380615234
1781515676309766912,32.18819499015808,-0.4600002765655518,97.7091293334961
1781515678878418944,34.75684690475464,-0.7300002574920654,97.71073150634766
