time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ,pitch,roll,yaw
1780770978535413760,0.05603671073913574,-0.059802014380693436,0.1925390213727951,-0.15494996309280396,-0.12626302242279053,-0.3545711636543274,-0.9264647364616394,-0.10579264163970947,0.030123531818389893,0.017040908336639404,-0.6193980171790653,-0.1638985436265108,-0.09952331070847853,-0.7613005499213766,0.36245539799760645,-0.13545026956423994,1.8004853797355655
1780770978545448704,0.06607174873352051,-0.2034984529018402,0.094853475689888,-0.12694042921066284,-0.12448616325855255,-0.353585422039032,-0.9270817637443542,-0.037272267043590546,-0.17006570100784302,0.013919532299041748,-0.6199707718272305,-0.1629153306402765,-0.0995877646018355,-0.7610369339286284,0.3614013656648882,-0.13347903045800713,1.798805642796024
1780770978555482880,0.07610583305358887,-0.34285077452659607,0.12456849217414856,-0.127505823969841,-0.12307122349739075,-0.3512033522129059,-0.9281754493713379,0.04372552037239075,-0.2524190843105316,0.03787088394165039,-0.6206308624793707,-0.16160737080438303,-0.09897134970737753,-0.7608581463761888,0.3588560237004649,-0.13182580947335062,1.7970562851661303
1780770978565517824,0.08614087104797363,-0.4460482597351074,0.18750271201133728,-0.13410620391368866,-0.12115980684757233,-0.34767311811447144,-0.9297546744346619,0.028050675988197327,-0.10662677884101868,0.06963199377059937,-0.6213569799360381,-0.1597123257408848,-0.09805432436026051,-0.7607843674442901,0.35508827116457764,-0.12958351614666475,1.7951548982577838
1780770978575552768,0.0961756706237793,-0.49544191360473633,0.1573241800069809,-0.10003211349248886,-0.11912406980991364,-0.343433141708374,-0.9315916895866394,-0.019593574106693268,-0.009777277708053589,0.05863642692565918,-0.6221204676657974,-0.15752920550971525,-0.09689526122696339,-0.7607640655817182,0.35056995482180475,-0.1271813504708548,1.7931957356671382
1780770978585586688,0.10620975494384766,-0.5475682020187378,0.10820669680833817,-0.053243570029735565,-0.11761363595724106,-0.3386234641075134,-0.9335422515869141,-0.02168384939432144,-0.03680378198623657,0.03971290588378906,-0.6227430942112601,-0.1553455191054964,-0.09537626752166455,-0.7608956489040263,0.345453555517174,-0.1253261060283707,1.7917240513051167
1780770978595621888,0.11624479293823242,-0.5841419100761414,0.07576526701450348,-0.017869070172309875,-0.1166473850607872,-0.3333638310432434,-0.9355543255805969,0.012963905930519104,-0.05597946047782898,0.0260390043258667,-0.6232872083056717,-0.15321865608602822,-0.09352468225638817,-0.7611111725841142,0.339869243489354,-0.12404250374883534,1.7905635713785688
1780770978605655808,0.12627887725830078,-0.5300291776657104,0.02487226016819477,0.02265758439898491,-0.11621548235416412,-0.3281419277191162,-0.9374523162841797,0.031269803643226624,-0.04640030860900879,0.027936935424804688,-0.6236986932684047,-0.151305860471014,-0.09154443911843917,-0.7613973930046972,0.33433591583894495,-0.12334020726787169,1.7898125860523357
1780770978615690752,0.13631367683410645,-0.46825557947158813,0.0295928455889225,0.05040878802537918,-0.1160270944237709,-0.32342132925987244,-0.9391146898269653,0.028166987001895905,-0.023151546716690063,0.025204777717590332,-0.6239203204319675,-0.14964258985984716,-0.08972047961030338,-0.7617615843500039,0.3293429217345905,-0.12292649821592014,1.7895472280674192
1780770978625724672,0.1463477611541748,-0.36561253666877747,-0.0012553473934531212,0.09495175629854202,-0.11618641763925552,-0.31943845748901367,-0.9404572248458862,0.025152474641799927,0.008006572723388672,0.0042389631271362305,-0.6239524725698512,-0.14835106390865274,-0.08810988027136336,-0.7621757584538496,0.32513683632981993,-0.12291963776592921,1.789762603334681
1780770978635759872,0.15638279914855957,-0.28186091780662537,-0.0038707051426172256,0.13348077237606049,-0.1166876032948494,-0.31625646352767944,-0.9414700269699097,0.024951763451099396,0.03425878286361694,-0.024075627326965332,-0.6237208942606937,-0.1474414251697941,-0.08675255351560175,-0.7626973315399505,0.32178081885397003,-0.12331305532526059,1.7906490956663421
